condition,subject,sub_task,block,acc
congruent_pinky_thumb,999,1,0,0.6875
congruent_pinky_thumb,999,1,1,0.8
congruent_pinky_thumb,999,1,2,0.6363636363636364
congruent_pinky_thumb,999,1,3,0.8888888888888888
congruent_pinky_thumb,999,1,4,0.5714285714285714
congruent_pinky_thumb,999,1,5,0.6363636363636364
congruent_pinky_thumb,999,1,6,0.7272727272727273
congruent_pinky_thumb,999,1,7,0.8181818181818182
congruent_pinky_thumb,999,1,8,0.7142857142857143
congruent_pinky_thumb,999,2,0,0.4444444444444444
congruent_pinky_thumb,999,2,1,0.8
congruent_pinky_thumb,999,2,2,0.5714285714285714
congruent_pinky_thumb,999,2,3,0.875
congruent_pinky_thumb,999,2,4,0.8181818181818182
congruent_pinky_thumb,999,2,5,0.7857142857142857
congruent_pinky_thumb,999,2,6,0.5714285714285714
congruent_pinky_thumb,999,2,7,0.9285714285714286
congruent_pinky_thumb,999,2,8,0.8888888888888888
congruent_pointer_middle,1001,1,0,0.5833333333333334
congruent_pointer_middle,1001,1,1,0.7777777777777778
congruent_pointer_middle,1001,1,2,0.75
congruent_pointer_middle,1001,1,3,0.7647058823529411
congruent_pointer_middle,1001,1,4,1.0
congruent_pointer_middle,1001,1,5,0.8
congruent_pointer_middle,1001,1,6,0.21428571428571427
congruent_pointer_middle,1001,1,7,0.25
congruent_pointer_middle,1001,1,8,0.25
congruent_pointer_middle,1001,1,9,0.25
congruent_pointer_middle,1001,2,0,0.46153846153846156
congruent_pointer_middle,1001,2,1,0.9375
congruent_pointer_middle,1001,2,2,0.9230769230769231
congruent_pointer_middle,1001,2,3,1.0
congruent_pointer_middle,1001,2,4,0.8571428571428571
congruent_pointer_middle,1001,2,5,0.6666666666666666
congruent_pointer_middle,1001,2,6,0.45454545454545453
congruent_pointer_middle,1001,2,7,0.3333333333333333
congruent_pointer_middle,1001,2,8,0.46153846153846156
congruent_pointer_middle,1001,2,9,0.1875
incongruent_pinky_thumb,1000,1,0,0.8181818181818182
incongruent_pinky_thumb,1000,1,1,0.42857142857142855
incongruent_pinky_thumb,1000,1,2,0.7777777777777778
incongruent_pinky_thumb,1000,1,3,0.7142857142857143
incongruent_pinky_thumb,1000,1,4,0.875
incongruent_pinky_thumb,1000,1,5,0.7692307692307693
incongruent_pinky_thumb,1000,1,6,0.8181818181818182
incongruent_pinky_thumb,1000,1,7,0.8333333333333334
incongruent_pinky_thumb,1000,1,8,0.7777777777777778
incongruent_pinky_thumb,1000,1,9,0.8571428571428571
incongruent_pinky_thumb,1000,1,10,1.0
incongruent_pinky_thumb,1000,1,11,1.0
incongruent_pinky_thumb,1000,1,12,1.0
incongruent_pinky_thumb,1000,1,13,0.8
incongruent_pinky_thumb,1000,2,0,0.35714285714285715
incongruent_pinky_thumb,1000,2,1,0.36363636363636365
incongruent_pinky_thumb,1000,2,2,0.5625
incongruent_pinky_thumb,1000,2,3,0.6363636363636364
incongruent_pinky_thumb,1000,2,4,0.5882352941176471
incongruent_pinky_thumb,1000,2,5,0.5
incongruent_pinky_thumb,1000,2,6,0.6428571428571429
incongruent_pinky_thumb,1000,2,7,0.9230769230769231
incongruent_pinky_thumb,1000,2,8,0.9375
incongruent_pinky_thumb,1000,2,9,0.9444444444444444
incongruent_pinky_thumb,1000,2,10,1.0
incongruent_pinky_thumb,1000,2,11,0.6666666666666666
incongruent_pinky_thumb,1000,2,12,0.9333333333333333
incongruent_pinky_thumb,1000,2,13,0.5
incongruent_pointer_middle,1002,1,0,0.7692307692307693
incongruent_pointer_middle,1002,1,1,0.5454545454545454
incongruent_pointer_middle,1002,1,2,0.7333333333333333
incongruent_pointer_middle,1002,1,3,0.75
incongruent_pointer_middle,1002,1,4,0.8
incongruent_pointer_middle,1002,1,5,0.8181818181818182
incongruent_pointer_middle,1002,1,6,0.8461538461538461
incongruent_pointer_middle,1002,1,7,0.875
incongruent_pointer_middle,1002,1,8,0.7058823529411765
incongruent_pointer_middle,1002,1,9,0.8181818181818182
incongruent_pointer_middle,1002,1,10,1.0
incongruent_pointer_middle,1002,2,0,0.5833333333333334
incongruent_pointer_middle,1002,2,1,0.5
incongruent_pointer_middle,1002,2,2,0.7
incongruent_pointer_middle,1002,2,3,0.6923076923076923
incongruent_pointer_middle,1002,2,4,0.9333333333333333
incongruent_pointer_middle,1002,2,5,0.8571428571428571
incongruent_pointer_middle,1002,2,6,0.3333333333333333
incongruent_pointer_middle,1002,2,7,0.3333333333333333
incongruent_pointer_middle,1002,2,8,0.625
incongruent_pointer_middle,1002,2,9,0.7857142857142857
incongruent_pointer_middle,1002,2,10,0.5
